mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002199125289916992,0.0025530312295124107,0.0,0.0,100,10,4,auto,8,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 8}",,,,,,,,7
0.0015454292297363281,0.000930565374022582,0.0,0.0,100,2,1,auto,8,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 8}",,,,,,,,7
1.104748249053955,0.19008715024798406,0.1921215057373047,0.028408564682346666,300,2,1,0.5,8,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 8}",-37.14908078333062,-34.508840932518396,-40.993170356791204,-38.06240962304832,-31.239077413631367,-36.390515821863985,3.305543722720893,6
0.4266201972961426,0.0460274794207652,0.1515963554382324,0.03545508727912637,100,2,2,sqrt,5,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 5}",-33.33108968560587,-30.35970816649165,-40.02757551035589,-37.480207518450136,-35.27528888700898,-35.2947739535825,3.3282680281876216,2
0.40075297355651857,0.04330223406263533,0.14807448387145997,0.016154239181426566,100,2,4,sqrt,12,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 12}",-31.945615458184115,-29.401253455600664,-39.87392714367703,-38.4100704732446,-39.26351477946919,-35.77887626203511,4.27090836588698,4
0.001338958740234375,0.0007415198350077132,0.0,0.0,100,2,4,auto,8,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 8}",,,,,,,,7
0.4071181297302246,0.03144516733619399,0.12339353561401367,0.013976568283571078,100,5,1,0.5,12,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 12}",-37.05199861996276,-33.53896483574513,-40.842874225816175,-38.09482496880175,-31.061520988691626,-36.11803672780349,3.4445327460389445,5
0.0016681671142578125,0.0004944653127172764,0.0,0.0,200,10,1,auto,12,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 12}",,,,,,,,7
0.9958909034729004,0.0602197594339068,0.17088055610656738,0.021617192883825187,300,5,4,sqrt,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None}",-32.76285829524015,-29.760737310731393,-39.795824820674945,-37.824663963160745,-37.98290680239902,-35.62539823844125,3.751678476583248,3
0.4068126678466797,0.022059989821103375,0.12636957168579102,0.040996646093605246,100,2,2,0.5,8,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 8}",-33.67689067850964,-28.63999342124429,-41.12299858385994,-37.591041906646474,-31.870549757066687,-34.58029486946541,4.36617930503065,1
