train_id,rr_mean,rr_std,station_count,endpoint,extracted_at
15228,48.75714285714286,33.31824284265977,35,https://api.railradar.in/api/v1/trains/15228/average-delay,2025-12-20T10:12:22.237087Z
15468,32.5,19.205901870692422,15,https://api.railradar.in/api/v1/trains/15468/average-delay,2025-12-20T10:12:22.290153Z
15553,24.96875,12.348416839315881,16,https://api.railradar.in/api/v1/trains/15553/average-delay,2025-12-20T10:12:22.215322Z
15589,58.854166666666664,50.87965358869453,24,https://api.railradar.in/api/v1/trains/15589/average-delay,2025-12-20T10:12:22.242522Z
15652,202.54545454545453,64.76178535969501,44,https://api.railradar.in/api/v1/trains/15652/average-delay,2025-12-20T10:12:22.267416Z
16207,22.152173913043477,16.85257997446804,23,https://api.railradar.in/api/v1/trains/16207/average-delay,2025-12-20T10:12:22.227815Z
16731,18.53448275862069,8.922009819273905,29,https://api.railradar.in/api/v1/trains/16731/average-delay,2025-12-20T10:12:22.251997Z
16865,7.03125,6.228635359169775,16,https://api.railradar.in/api/v1/trains/16865/average-delay,2025-12-20T10:12:22.259565Z
17269,16.692307692307693,10.705028404263794,13,https://api.railradar.in/api/v1/trains/17269/average-delay,2025-12-20T10:12:22.272264Z
17377,20.196428571428573,22.50925971592988,28,https://api.railradar.in/api/v1/trains/17377/average-delay,2025-12-20T10:12:22.290703Z
17436,24.289473684210527,13.866198763325308,19,https://api.railradar.in/api/v1/trains/17436/average-delay,2025-12-20T10:12:22.282181Z
17646,35.28947368421053,31.532070470301257,19,https://api.railradar.in/api/v1/trains/17646/average-delay,2025-12-20T10:12:22.244273Z
17647,50.46875,30.639266447444527,32,https://api.railradar.in/api/v1/trains/17647/average-delay,2025-12-20T10:12:22.221864Z
17659,42.16,24.81721982817576,25,https://api.railradar.in/api/v1/trains/17659/average-delay,2025-12-20T10:12:22.240740Z
18011,48.06578947368421,25.429254561127543,38,https://api.railradar.in/api/v1/trains/18011/average-delay,2025-12-20T10:12:22.219852Z
18239,27.153846153846153,23.822972603532058,26,https://api.railradar.in/api/v1/trains/18239/average-delay,2025-12-20T10:12:22.259041Z
18311,11.545454545454545,8.354243737751016,11,https://api.railradar.in/api/v1/trains/18311/average-delay,2025-12-20T10:12:22.286676Z
18312,228.95,445.73363402372945,10,https://api.railradar.in/api/v1/trains/18312/average-delay,2025-12-20T10:12:22.283305Z
18415,66.68333333333334,30.60813708077569,30,https://api.railradar.in/api/v1/trains/18415/average-delay,2025-12-20T10:12:22.285552Z
18416,69.56666666666666,35.52293468857675,30,https://api.railradar.in/api/v1/trains/18416/average-delay,2025-12-20T10:12:22.287812Z
18518,29.956521739130434,17.929762143162886,23,https://api.railradar.in/api/v1/trains/18518/average-delay,2025-12-20T10:12:22.258493Z
18638,38.65384615384615,32.31330079524566,26,https://api.railradar.in/api/v1/trains/18638/average-delay,2025-12-20T10:12:22.216829Z
19260,30.5375,23.626094551364176,40,https://api.railradar.in/api/v1/trains/19260/average-delay,2025-12-20T10:12:22.270070Z
19309,5.78125,7.776102715210236,16,https://api.railradar.in/api/v1/trains/19309/average-delay,2025-12-20T10:12:22.286123Z
19325,14.653846153846153,13.425556306171359,26,https://api.railradar.in/api/v1/trains/19325/average-delay,2025-12-20T10:12:22.239785Z
19346,2.227272727272727,1.5863571242377406,22,https://api.railradar.in/api/v1/trains/19346/average-delay,2025-12-20T10:12:22.254008Z
19405,10.151515151515152,5.888464388601755,33,https://api.railradar.in/api/v1/trains/19405/average-delay,2025-12-20T10:12:22.219852Z
19618,31.982758620689655,10.512293918288941,29,https://api.railradar.in/api/v1/trains/19618/average-delay,2025-12-20T10:12:22.261958Z
19713,24.64864864864865,19.16812700209502,37,https://api.railradar.in/api/v1/trains/19713/average-delay,2025-12-20T10:12:22.280206Z
20402,15.1875,9.027518692863504,8,https://api.railradar.in/api/v1/trains/20402/average-delay,2025-12-20T10:12:22.264620Z
20503,46.083333333333336,33.758846577189544,24,https://api.railradar.in/api/v1/trains/20503/average-delay,2025-12-20T10:12:22.282745Z
20505,26.68,37.42829945375557,25,https://api.railradar.in/api/v1/trains/20505/average-delay,2025-12-20T10:12:22.256028Z
20642,12.285714285714286,9.303828485617945,7,https://api.railradar.in/api/v1/trains/20642/average-delay,2025-12-20T10:12:22.237087Z
20673,3.4285714285714284,4.161289046751287,7,https://api.railradar.in/api/v1/trains/20673/average-delay,2025-12-20T10:12:22.237087Z
20804,39.89655172413793,43.49284112918704,29,https://api.railradar.in/api/v1/trains/20804/average-delay,2025-12-20T10:12:22.242522Z
20924,12.545454545454545,9.926902257489598,22,https://api.railradar.in/api/v1/trains/20924/average-delay,2025-12-20T10:12:22.277343Z
20934,32.80555555555556,24.99507667571139,18,https://api.railradar.in/api/v1/trains/20934/average-delay,2025-12-20T10:12:22.290703Z
22108,15.136363636363637,11.872601976228733,11,https://api.railradar.in/api/v1/trains/22108/average-delay,2025-12-20T10:12:22.283863Z
22159,107.171875,25.878806898394195,32,https://api.railradar.in/api/v1/trains/22159/average-delay,2025-12-20T10:12:22.262984Z
22208,9.454545454545455,7.098189735465033,11,https://api.railradar.in/api/v1/trains/22208/average-delay,2025-12-20T10:12:22.249258Z
22224,14.333333333333334,8.081185281600439,6,https://api.railradar.in/api/v1/trains/22224/average-delay,2025-12-20T10:12:22.276789Z
22351,25.4,24.44667666575561,15,https://api.railradar.in/api/v1/trains/22351/average-delay,2025-12-20T10:12:22.259565Z
22387,16.3125,7.367315912189459,16,https://api.railradar.in/api/v1/trains/22387/average-delay,2025-12-20T10:12:22.224970Z
22473,9.204545454545455,10.120477767770348,22,https://api.railradar.in/api/v1/trains/22473/average-delay,2025-12-20T10:12:22.284246Z
